T,AI2_filter1
0,-2.77486055413491E-22
1,-1.9570357306387E-07
2,-1.31252370642973E-06
3,-1.96182689906006E-06
4,-5.95467575048724E-08
5,2.21556192875079E-06
6,-9.93023705576267E-08
7,-4.43105720098261E-06
8,-2.71613919737865E-06
9,4.49573141413485E-06
10,5.35566644404859E-06
11,-4.40263648797861E-06
12,-9.32977300958434E-06
13,2.41168915634484E-06
14,1.40257702052598E-05
15,2.68465277388873E-06
16,-1.71553666709192E-05
17,-9.53797360693298E-06
18,1.94466780785959E-05
19,2.03704561244646E-05
20,-1.6798901357423E-05
21,-3.14595695631523E-05
22,1.197065520896E-05
23,4.69896156897931E-05
24,3.49858732055549E-06
25,-5.74718113744815E-05
26,-2.31524663899624E-05
27,6.71954011866534E-05
28,5.49161834400112E-05
29,-6.65729852327019E-05
30,-9.36488811662648E-05
31,5.62211885129737E-05
32,0.000144156836267508
33,-2.80733792512044E-05
34,-0.000208572435982665
35,-2.39231657767412E-05
36,0.000305615291110793
37,0.000114811425590484
38,-0.000521686469944405
39,-0.000201606532338381
40,0.00250519296305481
41,0.00711531438302721
42,0.0111768656439771
43,0.0125193322148702
44,0.011291287484953
45,0.00947294655091893
46,0.00862995358766552
47,0.00856253959668486
48,0.00802995481084467
49,0.0062664181858054
50,0.00360304145906805
51,0.000958689435850378
52,-0.000984653146963091
53,-0.00223986790544886
54,-0.00334365863745544
55,-0.00464714223871799
56,-0.0057516751161028
57,-0.00598324972739839
58,-0.00565095799962391
59,-0.00640558772248335
60,-0.00967451721584588
61,-0.0147161089922223
62,-0.0188570762388726
63,-0.0200095578256202
64,-0.0185928203484119
65,-0.0166503406777105
66,-0.0154645032425894
67,-0.0145920183172503
68,-0.0130318650538468
69,-0.0106012523257313
70,-0.00794078669636984
71,-0.00570225337679124
72,-0.00412493218488631
73,-0.00310488445732662
74,-0.00229841014070035
75,-0.00135291449881455
76,-0.0003787640463063
77,4.30466354978593E-05
78,-0.000187832379878688
79,0.000108425366931468
80,0.00249304583565225
81,0.00690710307157117
82,0.0111199764582192
83,0.0127380881240187
84,0.0115718469088993
85,0.00956062850274824
86,0.00849001020223362
87,0.0083080320740528
88,0.00771775613824283
89,0.00586834053769715
90,0.00312699821514445
91,0.000499378117871459
92,-0.00132574696458419
93,-0.00244131188428991
94,-0.00346834636775059
95,-0.00478831970121217
96,-0.00596505957930519
97,-0.00623734581289337
98,-0.00585000516209578
99,-0.00649975772138952
100,-0.00974631219868753
101,-0.0149100708872032
102,-0.019209149048639
103,-0.0203893784270265
104,-0.0188357150928639
105,-0.0167064492681828
106,-0.015386498509229
107,-0.0144297491422094
108,-0.012816464951151
109,-0.0104227631362309
110,-0.00794264759728339
111,-0.0059448285975257
112,-0.00449921468479417
113,-0.00343566410764667
114,-0.00251721441249031
115,-0.0015271785593012
116,-0.000588256592305338
117,-0.000196740898242585
118,-0.000399446039321524
119,-3.56583490840044E-05
120,0.00242313066246043
121,0.00690275284938273
122,0.0111477050939483
123,0.0127409527104415
124,0.0115311358297653
125,0.00954806372928271
126,0.00860477971645853
127,0.00854688136443761
128,0.00795452609548045
129,0.00599466737734461
130,0.00317923215902119
131,0.000600600341936439
132,-0.00113079014938857
133,-0.00223388466293021
134,-0.00332719544570564
135,-0.00467417434020471
136,-0.00578843652192282
137,-0.00602017407633571
138,-0.00574798118459719
139,-0.00662862145403298
140,-0.0100185239400814
141,-0.015093799284529
142,-0.0191535900243244
143,-0.0201607093755824
144,-0.0186251460565019
145,-0.0166455035980195
146,-0.0154845076165051
147,-0.0146527498525138
148,-0.0131450141978135
149,-0.0108009323260083
150,-0.00822964815387784
151,-0.00599446183298604
152,-0.00429849824837182
153,-0.00312307140198844
154,-0.00224823155558882
155,-0.00134946130408503
156,-0.000454854116626901
157,-5.66540980147594E-05
158,-0.000238292859058995
159,0.000143715381082632
160,0.00260607196851112
161,0.00704850278318197
162,0.0112159173918305
163,0.0127456379866916
164,0.011531124057467
165,0.00956433814048788
166,0.00858472477043009
167,0.00844771146676258
168,0.00783308194380182
169,0.00595708918677953
170,0.00323585330415853
171,0.000622147267205998
172,-0.00128297352366082
173,-0.00255614356201904
174,-0.00367730846244173
175,-0.00490614077958834
176,-0.00585407936189125
177,-0.0059517454202937
178,-0.00559099276088958
179,-0.00641641049794
180,-0.00978650494039134
181,-0.0148783905966776
182,-0.0189688392210521
183,-0.0199946929519677
184,-0.0184692824636086
185,-0.0165137072389197
186,-0.0153853591756004
187,-0.0145506680149583
188,-0.0129770240838869
189,-0.0105489962731634
190,-0.00796020541656162
191,-0.00580025820066582
192,-0.00420200381574832
193,-0.00306399191255637
194,-0.00217343720974176
195,-0.00128211368844154
196,-0.000446226527257713
197,-9.06183945572956E-05
198,-0.000230640839350713
199,0.000244755115710829
200,0.00275425343388304
201,0.00715069835801563
202,0.0112213191537391
203,0.0126695663540856
204,0.0114251644941739
205,0.00949692482224574
206,0.00862294846954503
207,0.00860238411929993
208,0.00802393765416394
209,0.00608511517822146
210,0.00330529869091764
211,0.000738852979803422
212,-0.00106371037737596
213,-0.00233105323498343
214,-0.0035854803711749
215,-0.00494744740244043
216,-0.0058925836015438
217,-0.00590792911924178
218,-0.00555483384234557
219,-0.00652407841549977
220,-0.0100359519841382
221,-0.0151360377973667
222,-0.0191420255122214
223,-0.0201249153163421
224,-0.0186347154397592
225,-0.0166953988014665
226,-0.0154776740699886
227,-0.0144834246944066
228,-0.0127875570562164
229,-0.0103384319737977
230,-0.00781246025058897
231,-0.00574314412600858
232,-0.00420738616341523
233,-0.00306286497990635
234,-0.00209890617688456
235,-0.00113509306170159
236,-0.000314565915766102
237,-6.85116462435464E-05
238,-0.000303862581301287
239,0.000208547502208648
240,0.00287577362667613
241,0.00741019380196844
242,0.0114830744625735
243,0.0128266241803415
244,0.0114845377630963
245,0.00951822194570683
246,0.00862289197932525
247,0.0085619331362996
248,0.00795725116450625
249,0.00603596971048601
250,0.00327184138421799
251,0.000671086111753899
252,-0.00116047717010325
253,-0.00235449759502086
254,-0.00347204980827146
255,-0.00481569109567009
256,-0.00595400483125361
257,-0.00621459846016869
258,-0.00591814083742657
259,-0.0067352882424343
260,-0.0101029628559567
261,-0.0152212265938009
262,-0.0193033646255324
263,-0.020229409397744
264,-0.0185542238982971
265,-0.0164994126600121
266,-0.0153635564343373
267,-0.0145572201371182
268,-0.0129825462751273
269,-0.0105350362602619
270,-0.00796656602646772
271,-0.00587968206772695
272,-0.00434409022370059
273,-0.00318806557583283
274,-0.00220481683018886
275,-0.00123063761563233
276,-0.000398298989652572
277,-0.000115676927808693
278,-0.000304311155862809
279,0.000200664748465152
280,0.00275285649099862
281,0.00710080227580394
282,0.0110425247590892
283,0.0124194448239079
284,0.0112515558074359
285,0.00945877661812004
286,0.00861888610645803
287,0.00850361531158044
288,0.00782099234896904
289,0.00585380334469433
290,0.00307809280138604
291,0.000497239109921603
292,-0.00128282298434026
293,-0.00242248584567182
294,-0.0035130086084066
295,-0.00482558774088354
296,-0.00587127596275496
297,-0.00601380231743038
298,-0.00570205711800184
299,-0.00664732797919998
300,-0.0101390798746215
301,-0.0152216910912687
302,-0.0191757868526549
303,-0.0200915872457315
304,-0.0185681927129266
305,-0.0166258055548387
306,-0.0154069286218509
307,-0.0144453731193544
308,-0.0128622109979784
309,-0.0105414077861136
310,-0.00802447748341091
311,-0.00584159307897533
312,-0.00424260286464938
313,-0.00319739076136638
314,-0.00236422596748439
315,-0.00136512760604381
316,-0.000375732779085169
317,-5.41337792246052E-05
318,-0.000402007944748255
319,-2.54855842361256E-05
320,0.00265274116176071
321,0.00728665986195266
322,0.011391689417547
323,0.0127026023622591
324,0.0113918303372977
325,0.00953542872575
326,0.00869009358549492
327,0.00855016440113447
328,0.00785100334178506
329,0.00593759618742554
330,0.00322944922229423
331,0.000603310284473914
332,-0.0013409035054701
333,-0.00261878619088981
334,-0.00370807621960476
335,-0.00491811393115132
336,-0.00585534143142078
337,-0.00591382218832828
338,-0.0055455662793113
339,-0.00651522179206103
340,-0.0101445224668936
341,-0.0153728792942703
342,-0.019320944961908
343,-0.0200862775944881
344,-0.0184730142914379
345,-0.0166466696098527
346,-0.0156299131280967
347,-0.0147198977686425
348,-0.0129972140165181
349,-0.0105465132516662
350,-0.008071389958462
351,-0.00601308000729064
352,-0.00441980536641465
353,-0.00323019867728527
354,-0.00227984849487058
355,-0.00133377582361998
356,-0.000485645976626097
357,-0.000191144288460616
358,-0.000382926046953105
359,0.000182789292523169
360,0.00288355361914999
361,0.00733377744842943
362,0.0111902058067486
363,0.0123517861976165
364,0.0110376641226807
365,0.00925779766622704
366,0.00848521206945925
367,0.00837172303945193
368,0.00764644562341601
369,0.00567417737274061
370,0.00292801926402627
371,0.000349222342134793
372,-0.00145533521356829
373,-0.00258940840922397
374,-0.00365064008375421
375,-0.00498557942285786
376,-0.00611273274199665
377,-0.00628765229870898
378,-0.00588819827794068
379,-0.0067222212228471
380,-0.0102291470194669
381,-0.0154396400239587
382,-0.0194577685631586
383,-0.0202718619889329
384,-0.0185993440906478
385,-0.0166425067242868
386,-0.0155442356575813
387,-0.0146590556502343
388,-0.012991366051083
389,-0.0105184060503257
390,-0.00794296678910343
391,-0.00580330527364974
392,-0.00421350521412651
393,-0.00308061307368275
394,-0.0021771686717127
395,-0.00125030494722632
396,-0.000411926926504821
397,-0.00013360059903801
398,-0.000362138094244164
399,0.000135195406970544
400,0.00277239084400464
401,0.00725224178996704
402,0.0112687356485092
403,0.0126184285867465
404,0.0113667347562952
